"","Movie.Name","Release.Year","Movie.Rating","Director","Run.time","Votes","Links"
"1","Eredet","(2010)","8.8","Christopher Nolan","148 min","2,190,868","/title/tt1375666/?ref_=adv_li_tt"
"2","Mátrix","(1999)","8.7","Lana Wachowski","136 min","1,776,780","/title/tt0133093/?ref_=adv_li_tt"
"3","A Birodalom visszavág","(1980)","8.7","Irvin Kershner","124 min","1,213,693","/title/tt0080684/?ref_=adv_li_tt"
"4","National Theatre Live: Frankenstein","(2011)","8.6","Danny Boyle","130 min","3,589","/title/tt1795369/?ref_=adv_li_tt"
"5","Csillagok között","(2014)","8.6","Christopher Nolan","169 min","1,638,983","/title/tt0816692/?ref_=adv_li_tt"
"6","Csillagok háborúja","(1977)","8.6","George Lucas","121 min","1,285,480","/title/tt0076759/?ref_=adv_li_tt"
"7","A tökéletes trükk","(2006)","8.5","Christopher Nolan","130 min","1,255,055","/title/tt0482571/?ref_=adv_li_tt"
"8","Terminátor 2. - Az ítélet napja","(1991)","8.5","James Cameron","137 min","1,040,375","/title/tt0103064/?ref_=adv_li_tt"
"9","Vissza a jövőbe","(1985)","8.5","Robert Zemeckis","116 min","1,122,398","/title/tt0088763/?ref_=adv_li_tt"
"10","Ejen Ali the Movie","(2019)","8.4","Muhammad Usamah Zaid","97 min","1,067","/title/tt9020536/?ref_=adv_li_tt"
"11","Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô","(2018)","8.4","Masashi Koizuka","120 min","2,347","/title/tt7941892/?ref_=adv_li_tt"
"12","Pókember - Irány a Pókverzum","(2018)","8.4","Bob Persichetti","117 min","436,329","/title/tt4633694/?ref_=adv_li_tt"
"13","Bosszúállók: Végjáték","(2019)","8.4","Anthony Russo","181 min","959,736","/title/tt4154796/?ref_=adv_li_tt"
"14","Bosszúállók: Végtelen háború","(2018)","8.4","Anthony Russo","149 min","940,120","/title/tt4154756/?ref_=adv_li_tt"
"15","Wall-E","(2008)","8.4","Andrew Stanton","98 min","1,050,063","/title/tt0910970/?ref_=adv_li_tt"
"16","Aditya 369","(1991)","8.4","Singeetam Srinivasa Rao","140 min","2,622","/title/tt0252196/?ref_=adv_li_tt"
"17","Macskafogó","(1986)","8.4","Béla Ternovszky","96 min","9,775","/title/tt0179955/?ref_=adv_li_tt"
"18","A nyolcadik utas: a Halál","(1979)","8.4","Ridley Scott","117 min","830,332","/title/tt0078748/?ref_=adv_li_tt"
"19","Krapiva","(2016)","8.3","Sergey A.","63 min","1,941","/title/tt6067750/?ref_=adv_li_tt"
"20","Gekijouban Gintama Kanketsu-hen: Yorozuyayo eien nare","(2013)","8.3","Yôichi Fujita","110 min","2,417","/title/tt2374144/?ref_=adv_li_tt"
"21","Lucia","(I) (2013)","8.3","Pawan Kumar","135 min","12,025","/title/tt2358592/?ref_=adv_li_tt"
"22","Egy makulátlan elme örök ragyogása","(2004)","8.3","Michel Gondry","108 min","954,720","/title/tt0338013/?ref_=adv_li_tt"
"23","A bolygó neve: Halál","(1986)","8.3","James Cameron","137 min","683,524","/title/tt0090605/?ref_=adv_li_tt"
"24","A Jedi visszatér","(1983)","8.3","Richard Marquand","131 min","992,953","/title/tt0086190/?ref_=adv_li_tt"
"25","Halló, itt Iván cár!","(1973)","8.3","Leonid Gaidai","88 min","15,906","/title/tt0070233/?ref_=adv_li_tt"
"26","Mechanikus narancs","(1971)","8.3","Stanley Kubrick","136 min","790,926","/title/tt0066921/?ref_=adv_li_tt"
"27","2001: Űrodüsszeia","(1968)","8.3","Stanley Kubrick","149 min","634,520","/title/tt0062622/?ref_=adv_li_tt"
"28","Metropolis","(1927)","8.3","Fritz Lang","153 min","167,862","/title/tt0017136/?ref_=adv_li_tt"
"29","Kanojo no omoide","(1995)","8.2","Kôji Morimoto","45 min","2,250","/title/tt1530535/?ref_=adv_li_tt"
"30","Siren head","(2020)","8.2","Sergey A.","52 min","1,271","/title/tt12706382/?ref_=adv_li_tt"
"31","Dűne","(2021)","8.2","Denis Villeneuve","155 min","321,644","/title/tt1160419/?ref_=adv_li_tt"
"32","Indru Netru Naalai","(2015)","8.1","R. Ravikumar","146 min","4,102","/title/tt4806232/?ref_=adv_li_tt"
"33","Logan - Farkas","(2017)","8.1","James Mangold","137 min","696,160","/title/tt3315342/?ref_=adv_li_tt"
"34","Shin Evangelion Gekijôban","(2021)","8.1","Mahiro Maeda","154 min","6,760","/title/tt2458948/?ref_=adv_li_tt"
"35","PK","(2014)","8.1","Rajkumar Hirani","153 min","173,598","/title/tt2338151/?ref_=adv_li_tt"
"36","Suzumiya Haruhi no shôshitsu","(2010)","8.1","Tatsuya Ishihara","162 min","6,865","/title/tt1572781/?ref_=adv_li_tt"
"37","Mad Max: A harag útja","(2015)","8.1","George Miller","120 min","936,546","/title/tt1392190/?ref_=adv_li_tt"
"38","Zack Snyder: Az Igazság Ligája","(2021)","8.1","Zack Snyder","242 min","345,471","/title/tt12361974/?ref_=adv_li_tt"
"39","Made in Abyss: Fukaki Tamashî no Reimei","(2020)","8.1","Masayuki Kojima","113 min","2,494","/title/tt10068916/?ref_=adv_li_tt"
"40","V mint vérbosszú","(2005)","8.1","James McTeigue","132 min","1,074,280","/title/tt0434409/?ref_=adv_li_tt"
"41","Neon Genesis Evangelion: Az Evangelion vége","(1997)","8.1","Hideaki Anno","87 min","47,749","/title/tt0169858/?ref_=adv_li_tt"
"42","Jurassic Park","(1993)","8.1","Steven Spielberg","127 min","916,389","/title/tt0107290/?ref_=adv_li_tt"
"43","Kin-Dza-Dza","(1986)","8.1","Georgiy Daneliya","135 min","12,138","/title/tt0091341/?ref_=adv_li_tt"
"44","Nauszika - A szél harcosai","(1984)","8.1","Hayao Miyazaki","117 min","161,316","/title/tt0087544/?ref_=adv_li_tt"
"45","A dolog","(1982)","8.1","John Carpenter","109 min","396,821","/title/tt0084787/?ref_=adv_li_tt"
"46","Szárnyas fejvadász","(1982)","8.1","Ridley Scott","117 min","728,411","/title/tt0083658/?ref_=adv_li_tt"
"47","Sztalker","(1979)","8.1","Andrei Tarkovsky","162 min","127,413","/title/tt0079944/?ref_=adv_li_tt"
"48","Solaris","(1972)","8.1","Andrei Tarkovsky","167 min","87,411","/title/tt0069293/?ref_=adv_li_tt"
"49","Mentőexpedíció","(2015)","8.0","Ridley Scott","144 min","802,586","/title/tt3659388/?ref_=adv_li_tt"
"50","Eredet","(2010)","8.8","Christopher Nolan","148 min","2,190,868","/title/tt1375666/?ref_=adv_li_tt"
"51","Mátrix","(1999)","8.7","Lana Wachowski","136 min","1,776,780","/title/tt0133093/?ref_=adv_li_tt"
"52","A Birodalom visszavág","(1980)","8.7","Irvin Kershner","124 min","1,213,693","/title/tt0080684/?ref_=adv_li_tt"
"53","National Theatre Live: Frankenstein","(2011)","8.6","Danny Boyle","130 min","3,589","/title/tt1795369/?ref_=adv_li_tt"
"54","Csillagok között","(2014)","8.6","Christopher Nolan","169 min","1,638,983","/title/tt0816692/?ref_=adv_li_tt"
"55","Csillagok háborúja","(1977)","8.6","George Lucas","121 min","1,285,480","/title/tt0076759/?ref_=adv_li_tt"
"56","A tökéletes trükk","(2006)","8.5","Christopher Nolan","130 min","1,255,055","/title/tt0482571/?ref_=adv_li_tt"
"57","Terminátor 2. - Az ítélet napja","(1991)","8.5","James Cameron","137 min","1,040,375","/title/tt0103064/?ref_=adv_li_tt"
"58","Vissza a jövőbe","(1985)","8.5","Robert Zemeckis","116 min","1,122,398","/title/tt0088763/?ref_=adv_li_tt"
"59","Ejen Ali the Movie","(2019)","8.4","Muhammad Usamah Zaid","97 min","1,067","/title/tt9020536/?ref_=adv_li_tt"
"60","Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô","(2018)","8.4","Masashi Koizuka","120 min","2,347","/title/tt7941892/?ref_=adv_li_tt"
"61","Pókember - Irány a Pókverzum","(2018)","8.4","Bob Persichetti","117 min","436,329","/title/tt4633694/?ref_=adv_li_tt"
"62","Bosszúállók: Végjáték","(2019)","8.4","Anthony Russo","181 min","959,736","/title/tt4154796/?ref_=adv_li_tt"
"63","Bosszúállók: Végtelen háború","(2018)","8.4","Anthony Russo","149 min","940,120","/title/tt4154756/?ref_=adv_li_tt"
"64","Wall-E","(2008)","8.4","Andrew Stanton","98 min","1,050,063","/title/tt0910970/?ref_=adv_li_tt"
"65","Aditya 369","(1991)","8.4","Singeetam Srinivasa Rao","140 min","2,622","/title/tt0252196/?ref_=adv_li_tt"
"66","Macskafogó","(1986)","8.4","Béla Ternovszky","96 min","9,775","/title/tt0179955/?ref_=adv_li_tt"
"67","A nyolcadik utas: a Halál","(1979)","8.4","Ridley Scott","117 min","830,332","/title/tt0078748/?ref_=adv_li_tt"
"68","Krapiva","(2016)","8.3","Sergey A.","63 min","1,941","/title/tt6067750/?ref_=adv_li_tt"
"69","Gekijouban Gintama Kanketsu-hen: Yorozuyayo eien nare","(2013)","8.3","Yôichi Fujita","110 min","2,417","/title/tt2374144/?ref_=adv_li_tt"
"70","Lucia","(I) (2013)","8.3","Pawan Kumar","135 min","12,025","/title/tt2358592/?ref_=adv_li_tt"
"71","Egy makulátlan elme örök ragyogása","(2004)","8.3","Michel Gondry","108 min","954,720","/title/tt0338013/?ref_=adv_li_tt"
"72","A bolygó neve: Halál","(1986)","8.3","James Cameron","137 min","683,524","/title/tt0090605/?ref_=adv_li_tt"
"73","A Jedi visszatér","(1983)","8.3","Richard Marquand","131 min","992,953","/title/tt0086190/?ref_=adv_li_tt"
"74","Halló, itt Iván cár!","(1973)","8.3","Leonid Gaidai","88 min","15,906","/title/tt0070233/?ref_=adv_li_tt"
"75","Mechanikus narancs","(1971)","8.3","Stanley Kubrick","136 min","790,926","/title/tt0066921/?ref_=adv_li_tt"
"76","2001: Űrodüsszeia","(1968)","8.3","Stanley Kubrick","149 min","634,520","/title/tt0062622/?ref_=adv_li_tt"
"77","Metropolis","(1927)","8.3","Fritz Lang","153 min","167,862","/title/tt0017136/?ref_=adv_li_tt"
"78","Kanojo no omoide","(1995)","8.2","Kôji Morimoto","45 min","2,250","/title/tt1530535/?ref_=adv_li_tt"
"79","Siren head","(2020)","8.2","Sergey A.","52 min","1,271","/title/tt12706382/?ref_=adv_li_tt"
"80","Dűne","(2021)","8.2","Denis Villeneuve","155 min","321,644","/title/tt1160419/?ref_=adv_li_tt"
"81","Indru Netru Naalai","(2015)","8.1","R. Ravikumar","146 min","4,102","/title/tt4806232/?ref_=adv_li_tt"
"82","Logan - Farkas","(2017)","8.1","James Mangold","137 min","696,160","/title/tt3315342/?ref_=adv_li_tt"
"83","Shin Evangelion Gekijôban","(2021)","8.1","Mahiro Maeda","154 min","6,760","/title/tt2458948/?ref_=adv_li_tt"
"84","PK","(2014)","8.1","Rajkumar Hirani","153 min","173,598","/title/tt2338151/?ref_=adv_li_tt"
"85","Suzumiya Haruhi no shôshitsu","(2010)","8.1","Tatsuya Ishihara","162 min","6,865","/title/tt1572781/?ref_=adv_li_tt"
"86","Mad Max: A harag útja","(2015)","8.1","George Miller","120 min","936,546","/title/tt1392190/?ref_=adv_li_tt"
"87","Zack Snyder: Az Igazság Ligája","(2021)","8.1","Zack Snyder","242 min","345,471","/title/tt12361974/?ref_=adv_li_tt"
"88","Made in Abyss: Fukaki Tamashî no Reimei","(2020)","8.1","Masayuki Kojima","113 min","2,494","/title/tt10068916/?ref_=adv_li_tt"
"89","V mint vérbosszú","(2005)","8.1","James McTeigue","132 min","1,074,280","/title/tt0434409/?ref_=adv_li_tt"
"90","Neon Genesis Evangelion: Az Evangelion vége","(1997)","8.1","Hideaki Anno","87 min","47,749","/title/tt0169858/?ref_=adv_li_tt"
"91","Jurassic Park","(1993)","8.1","Steven Spielberg","127 min","916,389","/title/tt0107290/?ref_=adv_li_tt"
"92","Kin-Dza-Dza","(1986)","8.1","Georgiy Daneliya","135 min","12,138","/title/tt0091341/?ref_=adv_li_tt"
"93","Nauszika - A szél harcosai","(1984)","8.1","Hayao Miyazaki","117 min","161,316","/title/tt0087544/?ref_=adv_li_tt"
"94","A dolog","(1982)","8.1","John Carpenter","109 min","396,821","/title/tt0084787/?ref_=adv_li_tt"
"95","Szárnyas fejvadász","(1982)","8.1","Ridley Scott","117 min","728,411","/title/tt0083658/?ref_=adv_li_tt"
"96","Sztalker","(1979)","8.1","Andrei Tarkovsky","162 min","127,413","/title/tt0079944/?ref_=adv_li_tt"
"97","Solaris","(1972)","8.1","Andrei Tarkovsky","167 min","87,411","/title/tt0069293/?ref_=adv_li_tt"
"98","Mentőexpedíció","(2015)","8.0","Ridley Scott","144 min","802,586","/title/tt3659388/?ref_=adv_li_tt"
"99","Eredet","(2010)","8.8","Christopher Nolan","148 min","2,190,868","/title/tt1375666/?ref_=adv_li_tt"
"100","Mátrix","(1999)","8.7","Lana Wachowski","136 min","1,776,780","/title/tt0133093/?ref_=adv_li_tt"
"101","A Birodalom visszavág","(1980)","8.7","Irvin Kershner","124 min","1,213,693","/title/tt0080684/?ref_=adv_li_tt"
"102","National Theatre Live: Frankenstein","(2011)","8.6","Danny Boyle","130 min","3,589","/title/tt1795369/?ref_=adv_li_tt"
"103","Csillagok között","(2014)","8.6","Christopher Nolan","169 min","1,638,983","/title/tt0816692/?ref_=adv_li_tt"
"104","Csillagok háborúja","(1977)","8.6","George Lucas","121 min","1,285,480","/title/tt0076759/?ref_=adv_li_tt"
"105","A tökéletes trükk","(2006)","8.5","Christopher Nolan","130 min","1,255,055","/title/tt0482571/?ref_=adv_li_tt"
"106","Terminátor 2. - Az ítélet napja","(1991)","8.5","James Cameron","137 min","1,040,375","/title/tt0103064/?ref_=adv_li_tt"
"107","Vissza a jövőbe","(1985)","8.5","Robert Zemeckis","116 min","1,122,398","/title/tt0088763/?ref_=adv_li_tt"
"108","Ejen Ali the Movie","(2019)","8.4","Muhammad Usamah Zaid","97 min","1,067","/title/tt9020536/?ref_=adv_li_tt"
"109","Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô","(2018)","8.4","Masashi Koizuka","120 min","2,347","/title/tt7941892/?ref_=adv_li_tt"
"110","Pókember - Irány a Pókverzum","(2018)","8.4","Bob Persichetti","117 min","436,329","/title/tt4633694/?ref_=adv_li_tt"
"111","Bosszúállók: Végjáték","(2019)","8.4","Anthony Russo","181 min","959,736","/title/tt4154796/?ref_=adv_li_tt"
"112","Bosszúállók: Végtelen háború","(2018)","8.4","Anthony Russo","149 min","940,120","/title/tt4154756/?ref_=adv_li_tt"
"113","Wall-E","(2008)","8.4","Andrew Stanton","98 min","1,050,063","/title/tt0910970/?ref_=adv_li_tt"
"114","Aditya 369","(1991)","8.4","Singeetam Srinivasa Rao","140 min","2,622","/title/tt0252196/?ref_=adv_li_tt"
"115","Macskafogó","(1986)","8.4","Béla Ternovszky","96 min","9,775","/title/tt0179955/?ref_=adv_li_tt"
"116","A nyolcadik utas: a Halál","(1979)","8.4","Ridley Scott","117 min","830,332","/title/tt0078748/?ref_=adv_li_tt"
"117","Krapiva","(2016)","8.3","Sergey A.","63 min","1,941","/title/tt6067750/?ref_=adv_li_tt"
"118","Gekijouban Gintama Kanketsu-hen: Yorozuyayo eien nare","(2013)","8.3","Yôichi Fujita","110 min","2,417","/title/tt2374144/?ref_=adv_li_tt"
"119","Lucia","(I) (2013)","8.3","Pawan Kumar","135 min","12,025","/title/tt2358592/?ref_=adv_li_tt"
"120","Egy makulátlan elme örök ragyogása","(2004)","8.3","Michel Gondry","108 min","954,720","/title/tt0338013/?ref_=adv_li_tt"
"121","A bolygó neve: Halál","(1986)","8.3","James Cameron","137 min","683,524","/title/tt0090605/?ref_=adv_li_tt"
"122","A Jedi visszatér","(1983)","8.3","Richard Marquand","131 min","992,953","/title/tt0086190/?ref_=adv_li_tt"
"123","Halló, itt Iván cár!","(1973)","8.3","Leonid Gaidai","88 min","15,906","/title/tt0070233/?ref_=adv_li_tt"
"124","Mechanikus narancs","(1971)","8.3","Stanley Kubrick","136 min","790,926","/title/tt0066921/?ref_=adv_li_tt"
"125","2001: Űrodüsszeia","(1968)","8.3","Stanley Kubrick","149 min","634,520","/title/tt0062622/?ref_=adv_li_tt"
"126","Metropolis","(1927)","8.3","Fritz Lang","153 min","167,862","/title/tt0017136/?ref_=adv_li_tt"
"127","Kanojo no omoide","(1995)","8.2","Kôji Morimoto","45 min","2,250","/title/tt1530535/?ref_=adv_li_tt"
"128","Siren head","(2020)","8.2","Sergey A.","52 min","1,271","/title/tt12706382/?ref_=adv_li_tt"
"129","Dűne","(2021)","8.2","Denis Villeneuve","155 min","321,644","/title/tt1160419/?ref_=adv_li_tt"
"130","Indru Netru Naalai","(2015)","8.1","R. Ravikumar","146 min","4,102","/title/tt4806232/?ref_=adv_li_tt"
"131","Logan - Farkas","(2017)","8.1","James Mangold","137 min","696,160","/title/tt3315342/?ref_=adv_li_tt"
"132","Shin Evangelion Gekijôban","(2021)","8.1","Mahiro Maeda","154 min","6,760","/title/tt2458948/?ref_=adv_li_tt"
"133","PK","(2014)","8.1","Rajkumar Hirani","153 min","173,598","/title/tt2338151/?ref_=adv_li_tt"
"134","Suzumiya Haruhi no shôshitsu","(2010)","8.1","Tatsuya Ishihara","162 min","6,865","/title/tt1572781/?ref_=adv_li_tt"
"135","Mad Max: A harag útja","(2015)","8.1","George Miller","120 min","936,546","/title/tt1392190/?ref_=adv_li_tt"
"136","Zack Snyder: Az Igazság Ligája","(2021)","8.1","Zack Snyder","242 min","345,471","/title/tt12361974/?ref_=adv_li_tt"
"137","Made in Abyss: Fukaki Tamashî no Reimei","(2020)","8.1","Masayuki Kojima","113 min","2,494","/title/tt10068916/?ref_=adv_li_tt"
"138","V mint vérbosszú","(2005)","8.1","James McTeigue","132 min","1,074,280","/title/tt0434409/?ref_=adv_li_tt"
"139","Neon Genesis Evangelion: Az Evangelion vége","(1997)","8.1","Hideaki Anno","87 min","47,749","/title/tt0169858/?ref_=adv_li_tt"
"140","Jurassic Park","(1993)","8.1","Steven Spielberg","127 min","916,389","/title/tt0107290/?ref_=adv_li_tt"
"141","Kin-Dza-Dza","(1986)","8.1","Georgiy Daneliya","135 min","12,138","/title/tt0091341/?ref_=adv_li_tt"
"142","Nauszika - A szél harcosai","(1984)","8.1","Hayao Miyazaki","117 min","161,316","/title/tt0087544/?ref_=adv_li_tt"
"143","A dolog","(1982)","8.1","John Carpenter","109 min","396,821","/title/tt0084787/?ref_=adv_li_tt"
"144","Szárnyas fejvadász","(1982)","8.1","Ridley Scott","117 min","728,411","/title/tt0083658/?ref_=adv_li_tt"
"145","Sztalker","(1979)","8.1","Andrei Tarkovsky","162 min","127,413","/title/tt0079944/?ref_=adv_li_tt"
"146","Solaris","(1972)","8.1","Andrei Tarkovsky","167 min","87,411","/title/tt0069293/?ref_=adv_li_tt"
"147","Mentőexpedíció","(2015)","8.0","Ridley Scott","144 min","802,586","/title/tt3659388/?ref_=adv_li_tt"
